"region","species","year","spawners","smoothedSpawners","expansion_factor1","expansion_factor2"
"Skeena","Coho",2020,58517.8941584133,55168.0923013857,3.59444609847559,1.50296221475491
"Skeena","Coho",2021,33686.6402414311,42716.8383415828,2.70237494153541,1.50296221475491
"Skeena","Pink",1950,822358.570413998,822358.570413998,1.22548107012746,1.43978885504222
"Skeena","Pink",1951,639104.97937979,724964.452361101,1.43189673855393,1.43978885504222
"Skeena","Pink",1952,2423920.0809912,1244644.28387397,1.22902955659589,1.43978885504222
"Skeena","Pink",1953,385590.299058207,966767.846446389,1.1902680427615,1.43978885504222
"Skeena","Pink",1954,707809.289133875,522421.664437174,1.04408264210098,1.43978885504222
"Skeena","Pink",1955,448141.614238761,563204.045977694,1.1902680427615,1.43978885504222
"Skeena","Pink",1956,455015.254582876,451565.355947542,1.2605366939707,1.43978885504222
"Skeena","Pink",1957,827744.029745115,613706.901072433,1.43189673855393,1.43978885504222
"Skeena","Pink",1958,467655.589222925,622172.903585659,1.04836101672497,1.43978885504222
"Skeena","Pink",1959,764325.65946649,597863.836200185,1.1902680427615,1.43978885504222
"Skeena","Pink",1960,321116.790609919,495416.79699894,1.2766483907727,1.43978885504222
"Skeena","Pink",1961,751727.313582238,491316.865527069,1.22560895010457,1.43978885504222
"Skeena","Pink",1962,1646498.26121739,1112527.62425154,1.26599053478174,1.43978885504222
"Skeena","Pink",1963,1197293.38559988,1404044.68502868,1.22560895010457,1.43978885504222
"Skeena","Pink",1964,2680270.46268704,1791387.75718545,1.26944109366798,1.43978885504222
"Skeena","Pink",1965,1511244.10039322,2012596.0658299,1.18214773643402,1.43978885504222
"Skeena","Pink",1966,1046196.65052945,1257401.49354284,1.04116324978048,1.43978885504222
"Skeena","Pink",1967,571829.830096692,773463.931234018,1.17625435796101,1.43978885504222
"Skeena","Pink",1968,2539969.20257557,1205168.10344434,1.21638707361401,1.43978885504222
"Skeena","Pink",1969,928916.516534979,1536040.15043964,1.17625435796101,1.43978885504222
